Year,Total
1750,9.350528
1751,9.350528
1752,9.354192
1753,9.354192
1754,9.357856
1755,9.36152
1756,10.006384
1757,10.010048
1758,10.013712
1759,10.017376
1760,10.017376
1761,10.97368
1762,10.977344
1763,10.981008
1764,10.984672
1765,10.988336
1766,12.259744
1767,12.263408
1768,12.267072
1769,12.270736
1770,12.2744
1771,13.61176
1772,13.615424
1773,13.619088
1774,13.622752
1775,13.626416
1776,15.037056
1777,15.04072
1778,15.044384
1779,15.048048
1780,15.055376
1781,16.843408
1782,16.847072
1783,16.8544
1784,16.858064
1785,16.869056
1786,19.151728
1787,19.159056
1788,19.16272
1789,19.170048
1790,19.177376
1791,21.419744
1792,21.896064
1793,21.914384
1794,21.881408
1795,21.8924
1796,22.951296
1797,24.094464
1798,25.094736
1799,26.428432
1800,28.091888
1801,27.959984
1802,36.782896
1803,31.488416
1804,34.309696
1805,33.419344
1806,35.04616
1807,36.874496
1808,35.06448
1809,35.090128
1810,37.380128
1811,39.582192
1812,41.007488
1813,41.22
1814,42.128672
1815,43.488016
1816,47.664976
1817,49.431024
1818,49.643536
1819,49.947648
1820,50.687776
1821,51.435232
1822,53.465088
1823,56.550176
1824,58.525072
1825,60.756448
1826,61.419632
1827,65.91536
1828,66.637168
1829,66.395344
1830,89.123136
1831,84.52848
1832,85.111056
1833,86.807488
1834,88.4856
1835,90.44584
1836,104.775744
1837,104.691472
1838,108.044032
1839,111.612768
1840,118.929776
1841,122.619424
1842,129.50408
1843,132.852976
1844,141.423072
1845,155.210704
1846,157.793824
1847,172.402192
1848,173.816496
1849,183.51144
1850,196.896032
1851,198.804976
1852,207.550944
1853,217.209248
1854,255.138976
1855,260.165984
1856,277.29152
1857,279.889296
1858,284.17185
1859,301.312559
1860,330.642191
1861,347.735242
1862,354.057462
1863,377.859938
1864,407.091108
1865,432.307789
1866,445.970599
1867,477.814912
1868,490.752496
1869,521.13072
1870,532.536752
1871,566.14296
1872,626.371792
1873,665.41904
1874,622.997248
1875,675.799152
1876,685.55272
1877,699.098528
1878,704.381729
1879,754.869509
1880,853.707188
1881,882.407475
1882,931.92471
1883,991.035684
1884,1002.177745
1885,1009.674571
1886,1025.478884
1887,1076.761678
1888,1192.27607
1889,1191.804432
1890,1298.463581
1891,1358.87969
1892,1370.094534
1893,1353.675035
1894,1400.864597
1895,1485.281339
1896,1533.711001
1897,1606.31064
1898,1694.277167
1899,1850.905966
1900,1952.224654
1901,2016.760928
1902,2067.797613
1903,2256.07725
1904,2281.857535
1905,2429.631367
1906,2551.869513
1907,2885.281242
1908,2776.431591
1909,2887.083061
1910,3027.588864
1911,3082.462274
1912,3228.332151
1913,3492.411249
1914,3168.341359
1915,3125.088543
1916,3373.154069
1917,3527.725678
1918,3479.185579
1919,3014.874203
1920,3507.597636
1921,3076.038222
1922,3226.445037
1923,3661.080742
1924,3672.399351
1925,3712.867713
1926,3645.190242
1927,3981.432883
1928,3962.552527
1929,4255.150726
1930,3923.058343
1931,3505.272053
1932,3159.133411
1933,3326.453782
1934,3617.657544
1935,3796.088336
1936,4170.573685
1937,4458.901333
1938,4195.242758
1939,4438.143987
1940,4849.926545
1941,4959.186226
1942,4939.724859
1943,5023.25064
1944,5105.436673
1945,4244.738093
1946,4633.477283
1947,5130.185429
1948,5401.115478
1949,5243.102933
1950,6003.238189
1951,6379.755941
1952,6465.694232
1953,6647.727815
1954,6789.936494
1955,7443.207067
1956,7924.210548
1957,8185.52397
1958,8417.600054
1959,8856.188671
1960,9386.933671
1961,9417.462637
1962,9750.056664
1963,10271.52439
1964,10828.85757
1965,11317.23292
1966,11865.8614
1967,12243.04554
1968,12909.91252
1969,13766.57065
1970,14897.56709
1971,15498.26668
1972,16221.15227
1973,17078.7921
1974,17009.59441
1975,17046.49722
1976,17983.97285
1977,18494.53082
1978,19067.76718
1979,19610.01773
1980,19492.61352
1981,19026.91018
1982,18875.76028
1983,18998.03156
1984,19656.71687
1985,20317.48352
1986,20619.62366
1987,21266.19453
1988,22101.39949
1989,22406.83252
1990,22749.57436
1991,23238.10215
1992,22569.62428
1993,22803.49535
1994,22964.58336
1995,23453.94445
1996,24154.96121
1997,24300.55043
1998,24206.27127
1999,24518.96229
2000,25234.20725
2001,25451.0545
2002,26039.19148
2003,27366.72329
2004,28627.53303
2005,29602.7772
2006,30583.53008
2007,31493.74159
2008,32069.44401
2009,31607.04241
2010,33343.30045
2011,34468.45105
2012,34974.07515
2013,35283.02544
2014,35534.44295
2015,35496.40634
2016,35452.4593
2017,35925.73769
2018,36646.13979
2019,36702.5029
2020,34807.2591
